,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,date,hour,weekday,month,season_label,weather_label,holiday_map
19,2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,2011-01-01,19,Saturday,January,Spring,rainly,non-holiday
20,2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,2011-01-01,20,Saturday,January,Spring,cloudy,non-holiday
21,2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,3,31,34,2011-01-01,21,Saturday,January,Spring,cloudy,non-holiday
22,2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,2011-01-01,22,Saturday,January,Spring,cloudy,non-holiday
23,2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,2011-01-01,23,Saturday,January,Spring,cloudy,non-holiday
24,2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,2011-01-02,00,Sunday,January,Spring,cloudy,non-holiday
25,2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,1,16,17,2011-01-02,01,Sunday,January,Spring,cloudy,non-holiday
26,2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,1,8,9,2011-01-02,02,Sunday,January,Spring,cloudy,non-holiday
27,2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,2,4,6,2011-01-02,03,Sunday,January,Spring,cloudy,non-holiday
28,2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,2,1,3,2011-01-02,04,Sunday,January,Spring,cloudy,non-holiday
29,2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,0,2,2,2011-01-02,06,Sunday,January,Spring,rainly,non-holiday
30,2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,0,1,1,2011-01-02,07,Sunday,January,Spring,cloudy,non-holiday
31,2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,0,8,8,2011-01-02,08,Sunday,January,Spring,rainly,non-holiday
32,2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,1,19,20,2011-01-02,09,Sunday,January,Spring,cloudy,non-holiday
33,2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,7,46,53,2011-01-02,10,Sunday,January,Spring,cloudy,non-holiday
34,2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,16,54,70,2011-01-02,11,Sunday,January,Spring,cloudy,non-holiday
35,2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,20,73,93,2011-01-02,12,Sunday,January,Spring,cloudy,non-holiday
36,2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,11,64,75,2011-01-02,13,Sunday,January,Spring,cloudy,non-holiday
37,2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,4,55,59,2011-01-02,14,Sunday,January,Spring,rainly,non-holiday
38,2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,19,55,74,2011-01-02,15,Sunday,January,Spring,rainly,non-holiday
39,2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,9,67,76,2011-01-02,16,Sunday,January,Spring,rainly,non-holiday
40,2011-01-02 17:00:00,1,0,0,1,13.94,16.665,57,12.998,7,58,65,2011-01-02,17,Sunday,January,Spring,sunny,non-holiday
41,2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46,22.0028,10,43,53,2011-01-02,18,Sunday,January,Spring,cloudy,non-holiday
42,2011-01-02 19:00:00,1,0,0,1,13.12,14.395,42,30.0026,1,29,30,2011-01-02,19,Sunday,January,Spring,sunny,non-holiday
43,2011-01-02 20:00:00,1,0,0,1,12.3,13.635,39,23.9994,5,17,22,2011-01-02,20,Sunday,January,Spring,sunny,non-holiday
44,2011-01-02 21:00:00,1,0,0,1,10.66,11.365,44,22.0028,11,20,31,2011-01-02,21,Sunday,January,Spring,sunny,non-holiday
45,2011-01-02 22:00:00,1,0,0,1,9.84,10.605,44,19.9995,0,9,9,2011-01-02,22,Sunday,January,Spring,sunny,non-holiday
46,2011-01-02 23:00:00,1,0,0,1,9.02,11.365,47,11.0014,0,8,8,2011-01-02,23,Sunday,January,Spring,sunny,non-holiday
47,2011-01-03 00:00:00,1,0,1,1,9.02,9.85,44,23.9994,0,5,5,2011-01-03,00,Monday,January,Spring,sunny,non-holiday
48,2011-01-03 01:00:00,1,0,1,1,8.2,8.335,44,27.9993,0,2,2,2011-01-03,01,Monday,January,Spring,sunny,non-holiday
49,2011-01-03 04:00:00,1,0,1,1,6.56,6.82,47,26.0027,0,1,1,2011-01-03,04,Monday,January,Spring,sunny,non-holiday
50,2011-01-03 05:00:00,1,0,1,1,6.56,6.82,47,19.0012,0,3,3,2011-01-03,05,Monday,January,Spring,sunny,non-holiday
51,2011-01-03 06:00:00,1,0,1,1,5.74,5.305,50,26.0027,0,30,30,2011-01-03,06,Monday,January,Spring,sunny,non-holiday
52,2011-01-03 07:00:00,1,0,1,1,5.74,6.82,50,12.998,1,63,64,2011-01-03,07,Monday,January,Spring,sunny,non-holiday
53,2011-01-03 08:00:00,1,0,1,1,5.74,6.06,50,19.0012,1,153,154,2011-01-03,08,Monday,January,Spring,sunny,non-holiday
54,2011-01-03 09:00:00,1,0,1,1,6.56,6.82,43,26.0027,7,81,88,2011-01-03,09,Monday,January,Spring,sunny,non-holiday
55,2011-01-03 10:00:00,1,0,1,1,7.38,8.335,43,16.9979,11,33,44,2011-01-03,10,Monday,January,Spring,sunny,non-holiday
56,2011-01-03 11:00:00,1,0,1,1,8.2,9.09,40,22.0028,10,41,51,2011-01-03,11,Monday,January,Spring,sunny,non-holiday
57,2011-01-03 12:00:00,1,0,1,1,9.02,10.605,35,19.9995,13,48,61,2011-01-03,12,Monday,January,Spring,sunny,non-holiday
58,2011-01-03 13:00:00,1,0,1,1,9.84,10.605,35,19.0012,8,53,61,2011-01-03,13,Monday,January,Spring,sunny,non-holiday
59,2011-01-03 14:00:00,1,0,1,1,10.66,12.12,30,19.0012,11,66,77,2011-01-03,14,Monday,January,Spring,sunny,non-holiday
60,2011-01-03 15:00:00,1,0,1,1,10.66,12.12,30,16.9979,14,58,72,2011-01-03,15,Monday,January,Spring,sunny,non-holiday
61,2011-01-03 16:00:00,1,0,1,1,10.66,12.12,30,16.9979,9,67,76,2011-01-03,16,Monday,January,Spring,sunny,non-holiday
62,2011-01-03 17:00:00,1,0,1,1,9.84,11.365,30,15.0013,11,146,157,2011-01-03,17,Monday,January,Spring,sunny,non-holiday
63,2011-01-03 18:00:00,1,0,1,1,9.84,12.88,32,7.0015,9,148,157,2011-01-03,18,Monday,January,Spring,sunny,non-holiday
64,2011-01-03 19:00:00,1,0,1,1,8.2,12.88,47,0.0,8,102,110,2011-01-03,19,Monday,January,Spring,sunny,non-holiday
65,2011-01-03 20:00:00,1,0,1,1,8.2,11.365,47,7.0015,3,49,52,2011-01-03,20,Monday,January,Spring,sunny,non-holiday
66,2011-01-03 21:00:00,1,0,1,1,7.38,9.85,64,8.9981,3,49,52,2011-01-03,21,Monday,January,Spring,sunny,non-holiday
67,2011-01-03 22:00:00,1,0,1,1,5.74,7.575,69,8.9981,0,20,20,2011-01-03,22,Monday,January,Spring,sunny,non-holiday
68,2011-01-03 23:00:00,1,0,1,1,7.38,10.605,55,7.0015,1,11,12,2011-01-03,23,Monday,January,Spring,sunny,non-holiday
69,2011-01-04 00:00:00,1,0,1,1,6.56,9.09,55,7.0015,0,5,5,2011-01-04,00,Tuesday,January,Spring,sunny,non-holiday
70,2011-01-04 01:00:00,1,0,1,1,6.56,9.09,59,7.0015,0,2,2,2011-01-04,01,Tuesday,January,Spring,sunny,non-holiday
71,2011-01-04 02:00:00,1,0,1,1,5.74,7.575,63,8.9981,0,1,1,2011-01-04,02,Tuesday,January,Spring,sunny,non-holiday
72,2011-01-04 04:00:00,1,0,1,1,5.74,9.09,63,6.0032,0,2,2,2011-01-04,04,Tuesday,January,Spring,sunny,non-holiday
73,2011-01-04 05:00:00,1,0,1,1,4.92,7.575,68,7.0015,0,4,4,2011-01-04,05,Tuesday,January,Spring,sunny,non-holiday
74,2011-01-04 06:00:00,1,0,1,1,4.92,7.575,74,7.0015,0,36,36,2011-01-04,06,Tuesday,January,Spring,sunny,non-holiday
75,2011-01-04 07:00:00,1,0,1,1,4.92,7.575,74,8.9981,2,92,94,2011-01-04,07,Tuesday,January,Spring,sunny,non-holiday
76,2011-01-04 08:00:00,1,0,1,1,5.74,7.575,69,11.0014,2,177,179,2011-01-04,08,Tuesday,January,Spring,sunny,non-holiday
77,2011-01-04 09:00:00,1,0,1,1,6.56,7.575,64,15.0013,2,98,100,2011-01-04,09,Tuesday,January,Spring,sunny,non-holiday
78,2011-01-04 10:00:00,1,0,1,2,6.56,6.82,69,22.0028,5,37,42,2011-01-04,10,Tuesday,January,Spring,cloudy,non-holiday
79,2011-01-04 11:00:00,1,0,1,1,9.02,10.605,51,19.9995,7,50,57,2011-01-04,11,Tuesday,January,Spring,sunny,non-holiday
80,2011-01-04 12:00:00,1,0,1,1,9.02,11.365,51,11.0014,12,66,78,2011-01-04,12,Tuesday,January,Spring,sunny,non-holiday
81,2011-01-04 13:00:00,1,0,1,1,9.84,11.365,56,12.998,18,79,97,2011-01-04,13,Tuesday,January,Spring,sunny,non-holiday
82,2011-01-04 14:00:00,1,0,1,1,10.66,12.88,52,15.0013,9,54,63,2011-01-04,14,Tuesday,January,Spring,sunny,non-holiday
83,2011-01-04 15:00:00,1,0,1,1,11.48,13.635,52,16.9979,17,48,65,2011-01-04,15,Tuesday,January,Spring,sunny,non-holiday
84,2011-01-04 16:00:00,1,0,1,1,12.3,14.395,49,16.9979,15,68,83,2011-01-04,16,Tuesday,January,Spring,sunny,non-holiday
85,2011-01-04 17:00:00,1,0,1,1,11.48,13.635,48,15.0013,10,202,212,2011-01-04,17,Tuesday,January,Spring,sunny,non-holiday
86,2011-01-04 18:00:00,1,0,1,1,10.66,12.88,48,12.998,3,179,182,2011-01-04,18,Tuesday,January,Spring,sunny,non-holiday
87,2011-01-04 19:00:00,1,0,1,1,9.84,12.88,48,7.0015,2,110,112,2011-01-04,19,Tuesday,January,Spring,sunny,non-holiday
88,2011-01-04 20:00:00,1,0,1,1,9.84,12.88,48,7.0015,1,53,54,2011-01-04,20,Tuesday,January,Spring,sunny,non-holiday
89,2011-01-04 21:00:00,1,0,1,1,9.02,13.635,64,0.0,0,48,48,2011-01-04,21,Tuesday,January,Spring,sunny,non-holiday
90,2011-01-04 22:00:00,1,0,1,1,9.02,12.88,64,6.0032,1,34,35,2011-01-04,22,Tuesday,January,Spring,sunny,non-holiday
91,2011-01-04 23:00:00,1,0,1,1,8.2,11.365,69,6.0032,2,9,11,2011-01-04,23,Tuesday,January,Spring,sunny,non-holiday
92,2011-01-05 00:00:00,1,0,1,1,8.2,12.88,64,0.0,0,6,6,2011-01-05,00,Wednesday,January,Spring,sunny,non-holiday
93,2011-01-05 01:00:00,1,0,1,1,6.56,9.85,74,6.0032,0,6,6,2011-01-05,01,Wednesday,January,Spring,sunny,non-holiday
94,2011-01-05 02:00:00,1,0,1,1,6.56,9.85,74,6.0032,0,2,2,2011-01-05,02,Wednesday,January,Spring,sunny,non-holiday
95,2011-01-05 04:00:00,1,0,1,1,9.84,11.365,48,15.0013,0,2,2,2011-01-05,04,Wednesday,January,Spring,sunny,non-holiday
96,2011-01-05 05:00:00,1,0,1,1,9.02,11.365,47,11.0014,0,3,3,2011-01-05,05,Wednesday,January,Spring,sunny,non-holiday
97,2011-01-05 06:00:00,1,0,1,1,8.2,9.85,47,15.0013,0,33,33,2011-01-05,06,Wednesday,January,Spring,sunny,non-holiday
98,2011-01-05 07:00:00,1,0,1,1,7.38,9.09,43,12.998,1,87,88,2011-01-05,07,Wednesday,January,Spring,sunny,non-holiday
99,2011-01-05 08:00:00,1,0,1,1,8.2,9.09,40,19.9995,3,192,195,2011-01-05,08,Wednesday,January,Spring,sunny,non-holiday
100,2011-01-05 09:00:00,1,0,1,1,9.02,9.85,37,22.0028,6,109,115,2011-01-05,09,Wednesday,January,Spring,sunny,non-holiday
101,2011-01-05 10:00:00,1,0,1,1,9.02,9.85,37,22.0028,4,53,57,2011-01-05,10,Wednesday,January,Spring,sunny,non-holiday
102,2011-01-05 11:00:00,1,0,1,1,10.66,11.365,33,22.0028,12,34,46,2011-01-05,11,Wednesday,January,Spring,sunny,non-holiday
103,2011-01-05 12:00:00,1,0,1,1,10.66,11.365,33,22.0028,5,74,79,2011-01-05,12,Wednesday,January,Spring,sunny,non-holiday
104,2011-01-05 13:00:00,1,0,1,1,11.48,12.88,30,19.9995,6,65,71,2011-01-05,13,Wednesday,January,Spring,sunny,non-holiday
105,2011-01-05 14:00:00,1,0,1,1,12.3,14.395,28,12.998,10,52,62,2011-01-05,14,Wednesday,January,Spring,sunny,non-holiday
106,2011-01-05 15:00:00,1,0,1,1,12.3,14.395,28,12.998,7,55,62,2011-01-05,15,Wednesday,January,Spring,sunny,non-holiday
107,2011-01-05 16:00:00,1,0,1,1,12.3,15.91,28,6.0032,4,85,89,2011-01-05,16,Wednesday,January,Spring,sunny,non-holiday
108,2011-01-05 17:00:00,1,0,1,1,9.84,11.365,38,12.998,4,186,190,2011-01-05,17,Wednesday,January,Spring,sunny,non-holiday
109,2011-01-05 18:00:00,1,0,1,1,9.84,12.12,38,8.9981,3,166,169,2011-01-05,18,Wednesday,January,Spring,sunny,non-holiday
110,2011-01-05 19:00:00,1,0,1,1,9.84,12.88,38,7.0015,5,127,132,2011-01-05,19,Wednesday,January,Spring,sunny,non-holiday
111,2011-01-05 20:00:00,1,0,1,1,9.02,11.365,47,11.0014,7,82,89,2011-01-05,20,Wednesday,January,Spring,sunny,non-holiday
112,2011-01-05 21:00:00,1,0,1,1,8.2,9.85,51,12.998,3,40,43,2011-01-05,21,Wednesday,January,Spring,sunny,non-holiday
113,2011-01-05 22:00:00,1,0,1,1,7.38,9.85,55,8.9981,1,41,42,2011-01-05,22,Wednesday,January,Spring,sunny,non-holiday
114,2011-01-05 23:00:00,1,0,1,1,8.2,12.88,47,0.0,1,18,19,2011-01-05,23,Wednesday,January,Spring,sunny,non-holiday
115,2011-01-06 00:00:00,1,0,1,1,7.38,12.12,55,0.0,0,11,11,2011-01-06,00,Thursday,January,Spring,sunny,non-holiday
116,2011-01-06 01:00:00,1,0,1,1,6.56,11.365,64,0.0,0,4,4,2011-01-06,01,Thursday,January,Spring,sunny,non-holiday
117,2011-01-06 02:00:00,1,0,1,1,6.56,11.365,64,0.0,0,2,2,2011-01-06,02,Thursday,January,Spring,sunny,non-holiday
118,2011-01-06 04:00:00,1,0,1,2,6.56,9.85,64,6.0032,0,1,1,2011-01-06,04,Thursday,January,Spring,cloudy,non-holiday
119,2011-01-06 05:00:00,1,0,1,2,5.74,9.09,69,6.0032,0,4,4,2011-01-06,05,Thursday,January,Spring,cloudy,non-holiday
120,2011-01-06 06:00:00,1,0,1,2,5.74,8.335,63,7.0015,0,36,36,2011-01-06,06,Thursday,January,Spring,cloudy,non-holiday
121,2011-01-06 07:00:00,1,0,1,2,6.56,11.365,59,0.0,0,95,95,2011-01-06,07,Thursday,January,Spring,cloudy,non-holiday
122,2011-01-06 08:00:00,1,0,1,1,6.56,11.365,59,0.0,3,216,219,2011-01-06,08,Thursday,January,Spring,sunny,non-holiday
123,2011-01-06 09:00:00,1,0,1,2,7.38,12.12,51,0.0,6,116,122,2011-01-06,09,Thursday,January,Spring,cloudy,non-holiday
124,2011-01-06 10:00:00,1,0,1,1,8.2,12.88,47,0.0,3,42,45,2011-01-06,10,Thursday,January,Spring,sunny,non-holiday
125,2011-01-06 11:00:00,1,0,1,1,9.02,12.88,44,6.0032,2,57,59,2011-01-06,11,Thursday,January,Spring,sunny,non-holiday
126,2011-01-06 12:00:00,1,0,1,1,10.66,14.395,35,0.0,6,78,84,2011-01-06,12,Thursday,January,Spring,sunny,non-holiday
127,2011-01-06 13:00:00,1,0,1,1,10.66,13.635,35,7.0015,12,55,67,2011-01-06,13,Thursday,January,Spring,sunny,non-holiday
128,2011-01-06 14:00:00,1,0,1,1,11.48,13.635,36,11.0014,11,59,70,2011-01-06,14,Thursday,January,Spring,sunny,non-holiday
129,2011-01-06 15:00:00,1,0,1,1,11.48,13.635,36,0.0,8,54,62,2011-01-06,15,Thursday,January,Spring,sunny,non-holiday
130,2011-01-06 16:00:00,1,0,1,1,10.66,12.88,38,11.0014,12,74,86,2011-01-06,16,Thursday,January,Spring,sunny,non-holiday
131,2011-01-06 17:00:00,1,0,1,1,9.02,11.365,51,11.0014,9,163,172,2011-01-06,17,Thursday,January,Spring,sunny,non-holiday
132,2011-01-06 18:00:00,1,0,1,1,9.02,11.365,51,8.9981,5,158,163,2011-01-06,18,Thursday,January,Spring,sunny,non-holiday
133,2011-01-06 19:00:00,1,0,1,1,9.02,12.88,55,6.0032,3,109,112,2011-01-06,19,Thursday,January,Spring,sunny,non-holiday
134,2011-01-06 20:00:00,1,0,1,1,8.2,10.605,51,11.0014,3,66,69,2011-01-06,20,Thursday,January,Spring,sunny,non-holiday
135,2011-01-06 21:00:00,1,0,1,2,9.02,10.605,55,15.0013,0,48,48,2011-01-06,21,Thursday,January,Spring,cloudy,non-holiday
136,2011-01-06 22:00:00,1,0,1,2,9.02,10.605,51,19.0012,1,51,52,2011-01-06,22,Thursday,January,Spring,cloudy,non-holiday
137,2011-01-06 23:00:00,1,0,1,2,8.2,9.85,59,12.998,4,19,23,2011-01-06,23,Thursday,January,Spring,cloudy,non-holiday
138,2011-01-07 00:00:00,1,0,1,2,8.2,9.85,64,12.998,4,13,17,2011-01-07,00,Friday,January,Spring,cloudy,non-holiday
139,2011-01-07 01:00:00,1,0,1,2,8.2,9.85,69,15.0013,2,5,7,2011-01-07,01,Friday,January,Spring,cloudy,non-holiday
140,2011-01-07 02:00:00,1,0,1,2,8.2,9.85,69,15.0013,0,1,1,2011-01-07,02,Friday,January,Spring,cloudy,non-holiday
141,2011-01-07 04:00:00,1,0,1,2,8.2,10.605,69,8.9981,0,1,1,2011-01-07,04,Friday,January,Spring,cloudy,non-holiday
142,2011-01-07 05:00:00,1,0,1,3,9.02,13.635,55,0.0,0,5,5,2011-01-07,05,Friday,January,Spring,rainly,non-holiday
143,2011-01-07 06:00:00,1,0,1,2,8.2,12.88,69,0.0,8,26,34,2011-01-07,06,Friday,January,Spring,cloudy,non-holiday
144,2011-01-07 07:00:00,1,0,1,1,8.2,10.605,69,8.9981,8,76,84,2011-01-07,07,Friday,January,Spring,sunny,non-holiday
145,2011-01-07 08:00:00,1,0,1,1,8.2,9.85,51,16.9979,20,190,210,2011-01-07,08,Friday,January,Spring,sunny,non-holiday
146,2011-01-07 09:00:00,1,0,1,1,8.2,9.09,47,19.9995,9,125,134,2011-01-07,09,Friday,January,Spring,sunny,non-holiday
147,2011-01-07 10:00:00,1,0,1,1,9.02,9.85,37,22.0028,16,47,63,2011-01-07,10,Friday,January,Spring,sunny,non-holiday
148,2011-01-07 11:00:00,1,0,1,2,8.2,9.85,40,15.0013,19,48,67,2011-01-07,11,Friday,January,Spring,cloudy,non-holiday
149,2011-01-07 12:00:00,1,0,1,2,8.2,9.85,37,16.9979,9,50,59,2011-01-07,12,Friday,January,Spring,cloudy,non-holiday
150,2011-01-07 13:00:00,1,0,1,2,8.2,9.09,37,19.0012,9,64,73,2011-01-07,13,Friday,January,Spring,cloudy,non-holiday
151,2011-01-07 14:00:00,1,0,1,2,8.2,9.85,40,16.9979,7,43,50,2011-01-07,14,Friday,January,Spring,cloudy,non-holiday
152,2011-01-07 15:00:00,1,0,1,2,8.2,10.605,37,11.0014,9,63,72,2011-01-07,15,Friday,January,Spring,cloudy,non-holiday
153,2011-01-07 16:00:00,1,0,1,2,8.2,10.605,37,11.0014,5,82,87,2011-01-07,16,Friday,January,Spring,cloudy,non-holiday
154,2011-01-07 17:00:00,1,0,1,2,8.2,12.88,37,0.0,9,178,187,2011-01-07,17,Friday,January,Spring,cloudy,non-holiday
155,2011-01-07 18:00:00,1,0,1,1,8.2,11.365,40,6.0032,7,116,123,2011-01-07,18,Friday,January,Spring,sunny,non-holiday
156,2011-01-07 19:00:00,1,0,1,1,6.56,9.85,55,6.0032,3,92,95,2011-01-07,19,Friday,January,Spring,sunny,non-holiday
157,2011-01-07 20:00:00,1,0,1,1,7.38,10.605,47,7.0015,1,50,51,2011-01-07,20,Friday,January,Spring,sunny,non-holiday
158,2011-01-07 21:00:00,1,0,1,1,7.38,9.85,47,8.9981,0,39,39,2011-01-07,21,Friday,January,Spring,sunny,non-holiday
159,2011-01-07 22:00:00,1,0,1,2,7.38,9.85,43,11.0014,2,34,36,2011-01-07,22,Friday,January,Spring,cloudy,non-holiday
160,2011-01-07 23:00:00,1,0,1,2,7.38,9.85,51,11.0014,1,14,15,2011-01-07,23,Friday,January,Spring,cloudy,non-holiday
161,2011-01-08 00:00:00,1,0,0,2,7.38,9.85,51,11.0014,1,24,25,2011-01-08,00,Saturday,January,Spring,cloudy,non-holiday
162,2011-01-08 01:00:00,1,0,0,2,7.38,10.605,55,6.0032,1,15,16,2011-01-08,01,Saturday,January,Spring,cloudy,non-holiday
163,2011-01-08 02:00:00,1,0,0,2,7.38,12.12,55,0.0,3,13,16,2011-01-08,02,Saturday,January,Spring,cloudy,non-holiday
164,2011-01-08 03:00:00,1,0,0,3,7.38,9.85,55,11.0014,0,7,7,2011-01-08,03,Saturday,January,Spring,rainly,non-holiday
165,2011-01-08 04:00:00,1,0,0,3,7.38,9.85,55,11.0014,0,1,1,2011-01-08,04,Saturday,January,Spring,rainly,non-holiday
166,2011-01-08 05:00:00,1,0,0,2,6.56,8.335,74,11.0014,0,5,5,2011-01-08,05,Saturday,January,Spring,cloudy,non-holiday
167,2011-01-08 06:00:00,1,0,0,2,6.56,8.335,74,11.0014,0,2,2,2011-01-08,06,Saturday,January,Spring,cloudy,non-holiday
168,2011-01-08 07:00:00,1,0,0,2,6.56,9.09,74,7.0015,1,8,9,2011-01-08,07,Saturday,January,Spring,cloudy,non-holiday
169,2011-01-08 08:00:00,1,0,0,3,6.56,9.09,93,7.0015,0,15,15,2011-01-08,08,Saturday,January,Spring,rainly,non-holiday
170,2011-01-08 09:00:00,1,0,0,3,6.56,9.09,93,7.0015,0,20,20,2011-01-08,09,Saturday,January,Spring,rainly,non-holiday
171,2011-01-08 10:00:00,1,0,0,2,7.38,9.85,80,11.0014,5,56,61,2011-01-08,10,Saturday,January,Spring,cloudy,non-holiday
172,2011-01-08 11:00:00,1,0,0,2,8.2,9.09,69,26.0027,2,60,62,2011-01-08,11,Saturday,January,Spring,cloudy,non-holiday
173,2011-01-08 12:00:00,1,0,0,2,8.2,9.09,59,23.9994,8,90,98,2011-01-08,12,Saturday,January,Spring,cloudy,non-holiday
174,2011-01-08 13:00:00,1,0,0,1,8.2,9.09,44,22.0028,7,95,102,2011-01-08,13,Saturday,January,Spring,sunny,non-holiday
175,2011-01-08 14:00:00,1,0,0,1,8.2,8.335,32,32.9975,12,83,95,2011-01-08,14,Saturday,January,Spring,sunny,non-holiday
176,2011-01-08 15:00:00,1,0,0,1,8.2,8.335,32,30.0026,5,69,74,2011-01-08,15,Saturday,January,Spring,sunny,non-holiday
177,2011-01-08 16:00:00,1,0,0,1,7.38,6.82,29,30.0026,8,68,76,2011-01-08,16,Saturday,January,Spring,sunny,non-holiday
178,2011-01-08 17:00:00,1,0,0,1,6.56,6.06,37,36.9974,5,64,69,2011-01-08,17,Saturday,January,Spring,sunny,non-holiday
179,2011-01-08 18:00:00,1,0,0,1,5.74,6.06,39,19.9995,3,52,55,2011-01-08,18,Saturday,January,Spring,sunny,non-holiday
180,2011-01-08 19:00:00,1,0,0,1,5.74,6.06,36,16.9979,4,26,30,2011-01-08,19,Saturday,January,Spring,sunny,non-holiday
181,2011-01-08 20:00:00,1,0,0,1,4.92,6.06,36,16.9979,0,28,28,2011-01-08,20,Saturday,January,Spring,sunny,non-holiday
182,2011-01-08 21:00:00,1,0,0,1,4.92,5.305,39,23.9994,2,35,37,2011-01-08,21,Saturday,January,Spring,sunny,non-holiday
183,2011-01-08 22:00:00,1,0,0,1,4.92,5.305,36,26.0027,1,33,34,2011-01-08,22,Saturday,January,Spring,sunny,non-holiday
184,2011-01-08 23:00:00,1,0,0,1,4.1,3.03,39,30.0026,0,22,22,2011-01-08,23,Saturday,January,Spring,sunny,non-holiday
185,2011-01-09 00:00:00,1,0,0,1,4.1,3.79,42,26.0027,1,24,25,2011-01-09,00,Sunday,January,Spring,sunny,non-holiday
186,2011-01-09 01:00:00,1,0,0,1,4.1,3.03,42,31.0009,0,12,12,2011-01-09,01,Sunday,January,Spring,sunny,non-holiday
